EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us],,EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us],,,EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00141517,706.63,0.00283034,171.525,70663,,1,100,0.000259209,3857.89,0.000518418,1642.96,385789,,,1,100,1.55E-06,645985,3.10E-06,322946,6.46E+07
2,100,0.00117147,853.63,0.00468587,86.3075,85363,,2,100,0.000226631,4412.45,0.000906526,1062.34,441245,,,2,100,1.51E-06,663904,6.02E-06,165944,6.64E+07
3,100,0.00278211,359.44,0.0166926,51.815,35944,,3,100,0.000279091,3583.06,0.00167455,574.038,358306,,,3,100,1.56E-06,640655,9.37E-06,106741,6.41E+07
4,100,0.000691453,1446.23,0.00553162,86.3312,144623,,4,100,0.00032916,3038.04,0.00263328,375.111,303804,,,4,100,1.55E-06,644996,1.24E-05,80604.1,6.45E+07
5,100,0.00146351,683.29,0.0146351,54.706,68329,,5,100,0.000303255,3297.56,0.00303255,324.202,329756,,,5,100,1.54E-06,650519,1.54E-05,65021,6.51E+07
6,100,0.00181722,550.29,0.0218067,29.0167,55029,,6,100,0.000334377,2990.64,0.00401252,245.155,299064,,,6,100,1.56E-06,641698,1.87E-05,53436.6,6.42E+07
7,100,0.00268738,372.11,0.0376233,23.3307,37211,,7,100,0.000302731,3303.26,0.00423824,232.286,330326,,,7,100,1.56E-06,639570,2.19E-05,45665.9,6.40E+07
8,100,0.00206488,484.29,0.0330381,19.5994,48429,,8,100,0.000353025,2832.66,0.0056484,172.031,283266,,,8,100,1.62E-06,617026,2.59E-05,38551.9,6.17E+07
9,100,0.00195902,510.46,0.0352623,18.1667,51046,,9,100,0.000322644,3099.39,0.00580759,168.853,309939,,,9,100,1.58E-06,633342,2.84E-05,35177.3,6.33E+07
10,100,0.00306598,326.16,0.0613196,14.0805,32616,,10,100,0.000325201,3075.02,0.00650402,150.655,307502,,,10,100,1.61E-06,620099,3.23E-05,30997.2,6.20E+07
11,100,0.0026381,379.06,0.0580383,14.3459,37906,,11,100,0.000325249,3074.57,0.00715547,137.115,307457,,,11,100,1.59E-06,628737,3.50E-05,28570.9,6.29E+07
12,100,0.00108601,920.8,0.0260643,28.0067,92080,,12,100,0.000367092,2724.11,0.00881022,111.233,272411,,,12,100,1.56E-06,642506,3.74E-05,26759,6.43E+07
13,100,0.000901234,1109.59,0.0234321,21.1454,110959,,13,100,0.000348483,2869.58,0.00906056,108.209,286958,,,13,100,1.69E-06,591121,4.40E-05,22712,5.91E+07
14,100,0.0019699,507.64,0.0551572,14.7786,50764,,14,100,0.00035487,2817.93,0.00993637,98.4764,281793,,,14,100,1.68E-06,596290,4.70E-05,21286.7,5.96E+07
15,100,0.00270621,369.52,0.0811864,10.4997,36952,,15,100,0.00031807,3143.96,0.00954211,102.461,314396,,,15,100,1.61E-06,622433,4.82E-05,20724,6.22E+07
16,100,0.000981952,1018.38,0.0314225,13.3606,101838,,16,100,0.000315229,3172.3,0.0100873,96.9753,317230,,,16,100,1.77E-06,565141,5.66E-05,17653,5.65E+07
17,100,0.00251149,398.17,0.0853907,9.38029,39817,,17,100,0.000366783,2726.41,0.0124706,77.8432,272641,,,17,100,4.55E-06,219638,0.0001548,6457.62,2.20E+07
18,100,0.00320718,311.8,0.115459,6.73167,31180,,18,100,0.000305077,3277.86,0.0109828,88.4964,327786,,,18,100,4.61E-06,216937,0.000165947,6018.14,2.17E+07
19,100,0.00315597,316.86,0.119927,6.60237,31686,,19,100,0.000309935,3226.48,0.0117775,82.5366,322648,,,19,100,4.47E-06,223627,0.000169926,5880.71,2.24E+07
20,100,0.00303527,329.46,0.121411,6.548,32946,,20,100,0.000309932,3226.51,0.0123973,78.7127,322651,,,20,100,4.60E-06,217442,0.000183957,5430.62,2.17E+07
21,100,0.00318522,313.95,0.127409,6.144,31395,,21,100,0.00029435,3397.32,0.0123627,78.4148,339732,,,21,100,4.56E-06,219151,0.000191649,5213.07,2.19E+07
22,100,0.00300797,332.45,0.120319,6.56925,33245,,22,100,0.000284986,3508.95,0.0125394,73.3032,350895,,,22,100,4.61E-06,216834,0.00020292,4924.75,2.17E+07
23,100,0.00280946,355.94,0.112378,7.01125,35594,,23,100,0.000253687,3941.86,0.0116696,78.4678,394186,,,23,100,4.62E-06,216297,0.000212671,4696.28,2.16E+07
24,100,0.00352609,283.6,0.141044,5.53725,28360,,24,100,0.000287416,3479.28,0.013796,70.3023,347928,,,24,100,4.63E-06,215800,0.000222428,4494.34,2.16E+07
25,100,0.00247439,404.14,0.0989756,6.827,40414,,25,100,0.00031949,3129.99,0.0159745,60.7142,312999,,,25,100,4.61E-06,216967,0.00023045,4333.22,2.17E+07
26,100,0.00323206,309.4,0.129282,6.00025,30940,,26,100,0.000349018,2865.18,0.0181489,53.0642,286518,,,26,100,4.60E-06,217465,0.000239119,4175.62,2.17E+07
27,100,0.00267802,373.41,0.107121,6.26925,37341,,27,100,0.000352868,2833.92,0.0190549,50.1576,283392,,,27,100,4.63E-06,215809,0.000250221,3994.51,2.16E+07
28,100,0.00261513,382.39,0.104605,7.45575,38239,,28,100,0.000319951,3125.48,0.0179172,53.9177,312548,,,28,100,4.57E-06,218905,0.000255819,3905.85,2.19E+07
29,100,0.00239647,417.28,0.0958589,8.25875,41728,,29,100,0.000287082,3483.32,0.0166508,57.8497,348332,,,29,100,4.60E-06,217363,0.000266835,3746,2.17E+07
30,100,0.0018773,532.68,0.075092,8.95225,53268,,30,100,0.000255745,3910.15,0.0153447,62.9347,391015,,,30,100,4.64E-06,215682,0.000278188,3592.67,2.16E+07
31,100,0.0023499,425.55,0.093996,7.77025,42555,,31,100,0.00028209,3544.97,0.0174896,54.8705,354497,,,31,100,4.59E-06,217830,0.000284626,3510.81,2.18E+07
32,100,0.00254227,393.35,0.101691,6.31525,39335,,32,100,0.000277918,3598.19,0.0177867,54.0186,359819,,,32,100,4.60E-06,217201,0.000294658,3388.69,2.17E+07
33,100,0.00279088,358.31,0.111635,6.778,35831,,33,100,0.000324244,3084.1,0.0214001,44.8148,308410,,,33,100,4.62E-06,216610,0.000304695,3277.69,2.17E+07
34,100,0.00237231,421.53,0.0948924,7.75825,42153,,34,100,0.0003628,2756.34,0.0246704,39.0197,275634,,,34,100,4.62E-06,216658,0.000313859,3184.73,2.17E+07
35,100,0.0024233,412.66,0.0969321,6.52175,41266,,35,100,0.000313545,3189.33,0.0219482,43.9349,318933,,,35,100,4.54E-06,220086,0.000318058,3140.3,2.20E+07
36,100,0.00128563,777.83,0.0514251,11.5165,77783,,36,100,0.000389182,2569.49,0.0280211,34.2782,256949,,,36,100,4.61E-06,216942,0.000331886,3008.61,2.17E+07
37,100,0.00102323,977.3,0.0409291,13.6973,97730,,37,100,0.000297301,3363.6,0.0220002,41.4809,336360,,,37,100,4.62E-06,216476,0.000341839,2923.45,2.16E+07
38,100,0.00160919,621.43,0.0643677,8.6005,62143,,38,100,0.000277096,3608.86,0.0210593,45.8028,360886,,,38,100,4.61E-06,217150,0.000349989,2853.33,2.17E+07
39,100,0.00133817,747.29,0.0535267,10.8285,74729,,39,100,0.000336022,2976,0.0262097,35.9486,297600,,,39,100,4.60E-06,217627,0.000358411,2786.84,2.18E+07
40,100,0.00095768,1044.19,0.0383072,14.6585,104419,,40,100,0.00027899,3584.36,0.0223192,42.9974,358436,,,40,100,4.62E-06,216347,0.000369776,2700.58,2.16E+07
41,100,0.00198161,504.64,0.0792644,9.064,50464,,41,100,0.000263462,3795.61,0.0216039,43.778,379561,,,41,100,4.63E-06,216079,0.000379491,2633.85,2.16E+07
42,100,0.0025344,394.57,0.101376,7.75075,39457,,42,100,0.000276268,3619.68,0.0232065,41.4329,361968,,,42,100,4.47E-06,223754,0.000375413,2659.99,2.24E+07
43,100,0.00292543,341.83,0.117017,6.6255,34183,,43,100,0.000268478,3724.7,0.0230891,41.1612,372470,,,43,100,4.59E-06,217667,0.000395098,2527.47,2.18E+07
44,100,0.00209371,477.62,0.0837486,8.041,47762,,44,100,0.000335109,2984.1,0.0294896,32.0792,298410,,,44,100,4.64E-06,215548,0.000408262,2448.22,2.16E+07
45,100,0.00247451,404.12,0.0989805,7.97525,40412,,45,100,0.000263464,3795.58,0.0237118,39.7076,379558,,,45,100,4.63E-06,216061,0.000416549,2399.45,2.16E+07
46,100,0.00344851,289.98,0.137941,5.7345,28998,,46,100,0.000286266,3493.25,0.0263365,35.8657,349325,,,46,100,4.60E-06,217472,0.000423042,2360.24,2.17E+07
47,100,0.00113075,884.37,0.0452299,14.9388,88437,,47,100,0.000269783,3706.68,0.0253596,37.3495,370668,,,47,100,4.60E-06,217369,0.000432444,2310.14,2.17E+07
48,100,0.00227625,439.32,0.0910498,7.527,43932,,48,100,0.000256806,3893.99,0.0246534,38.7831,389399,,,48,100,4.61E-06,217130,0.000442131,2257.8,2.17E+07
49,100,0.00305297,327.55,0.122119,6.494,32755,,49,100,0.000312213,3202.94,0.0305969,30.9881,320294,,,49,100,4.63E-06,216196,0.000453291,2204.9,2.16E+07
50,100,0.00228274,438.07,0.0913096,8.45125,43807,,50,100,0.000257588,3882.17,0.0257588,36.8981,388217,,,50,100,4.60E-06,217293,0.000460209,2169.41,2.17E+07
51,100,0.00136977,730.05,0.0547908,9.39725,73005,,51,100,0.000297289,3363.73,0.0303235,30.2088,336373,,,51,100,4.64E-06,215674,0.000472936,2113.27,2.16E+07
52,100,0.00106855,935.85,0.0427419,15.351,93585,,52,100,0.000274768,3639.44,0.0285758,33.2356,363944,,,52,100,4.61E-06,216705,0.000479914,2080.63,2.17E+07
53,100,0.00131259,761.85,0.0525038,12.6092,76185,,53,100,0.000273965,3650.1,0.0290403,32.1922,365010,,,53,100,4.61E-06,216779,0.000488976,2042.05,2.17E+07
54,100,0.0028056,356.43,0.112224,7.301,35643,,54,100,0.000304793,3280.91,0.0329177,28.801,328091,,,54,100,4.60E-06,217279,0.000497058,2010.65,2.17E+07
55,100,0.00284892,351.01,0.113957,6.9535,35101,,55,100,0.000334349,2990.89,0.0367784,25.4194,299089,,,55,100,4.62E-06,216644,0.000507745,1966.51,2.17E+07
56,100,0.00315338,317.12,0.126135,6.03225,31712,,56,100,0.000316464,3159.92,0.0354439,26.6245,315992,,,56,100,4.59E-06,217962,0.00051385,1943.97,2.18E+07
57,100,0.00274959,363.69,0.109984,6.794,36369,,57,100,0.000309056,3235.66,0.0352324,26.5593,323566,,,57,100,4.63E-06,216085,0.000527571,1894.36,2.16E+07
58,100,0.00287811,347.45,0.115124,6.9455,34745,,58,100,0.000238926,4185.39,0.0277155,33.9491,418539,,,58,100,4.61E-06,216756,0.000535165,1866.03,2.17E+07
59,100,0.0011792,848.03,0.0471681,10.709,84803,,59,100,0.000341324,2929.77,0.0402762,23.258,292977,,,59,100,4.57E-06,218924,0.000539001,1854.07,2.19E+07
60,100,0.00115439,866.26,0.0461755,16.5003,86626,,60,100,0.000302267,3308.33,0.0362721,25.8813,330833,,,60,100,4.63E-06,216097,0.000555306,1799.63,2.16E+07
61,100,0.00263407,379.64,0.105363,7.55975,37964,,61,100,0.000279683,3575.48,0.0341213,27.7384,357548,,,61,100,4.60E-06,217209,0.000561672,1777.42,2.17E+07
62,100,0.00230261,434.29,0.0921044,7.36,43429,,62,100,0.000274502,3642.96,0.0340383,27.3923,364296,,,62,100,4.62E-06,216257,0.000573393,1742.85,2.16E+07
63,100,0.00196541,508.8,0.0786164,8.08925,50880,,63,100,0.000285413,3503.69,0.0359621,25.2475,350369,,,63,100,4.62E-06,216454,0.00058211,1715.29,2.16E+07
64,100,0.0027112,368.84,0.108448,6.73475,36884,,64,100,0.000275396,3631.13,0.0352507,26.7576,363113,,,64,100,4.60E-06,217203,0.000589311,1695.68,2.17E+07
65,100,0.00245495,407.34,0.0981981,6.423,40734,,65,100,0.00031285,3196.42,0.0400448,23.3115,319642,,,65,100,4.44E-06,225416,0.000576713,1730.99,2.25E+07
66,100,0.0014856,673.13,0.0594239,12.4428,67313,,66,100,0.000267083,3744.16,0.0341866,27.6361,374416,,,66,100,4.61E-06,216687,0.000609173,1638.71,2.17E+07
67,100,0.00117374,851.98,0.0469495,9.83375,85198,,67,100,0.000270904,3691.34,0.0346758,27.2408,369134,,,67,100,4.62E-06,216378,0.000619287,1612.12,2.16E+07
68,100,0.00149318,669.71,0.0597273,13.4765,66971,,68,100,0.000260418,3839.98,0.0333335,28.1116,383998,,,68,100,4.63E-06,215843,0.000630086,1585.97,2.16E+07
69,100,0.00273008,366.29,0.109203,7.30925,36629,,69,100,0.000274452,3643.63,0.0351298,26.4267,364363,,,69,100,4.55E-06,219673,0.000628206,1589.14,2.20E+07
70,100,0.00288934,346.1,0.115574,6.78175,34610,,70,100,0.000257809,3878.84,0.0329996,28.5736,387884,,,70,100,4.56E-06,219206,0.000638668,1564.48,2.19E+07
71,100,0.00296375,337.41,0.11855,6.719,33741,,71,100,0.00026196,3817.37,0.0335309,28.0976,381737,,,71,100,4.58E-06,218369,0.000650276,1534.81,2.18E+07
72,100,0.00286582,348.94,0.114633,6.695,34894,,72,100,0.000289038,3459.75,0.0369969,25.0285,345975,,,72,100,4.60E-06,217341,0.000662554,1506.72,2.17E+07
73,100,0.00294377,339.7,0.117751,6.73625,33970,,73,100,0.000272932,3663.91,0.0349354,26.7989,366391,,,73,100,4.57E-06,218908,0.000666948,1496.7,2.19E+07
74,100,0.0028875,346.32,0.1155,6.91375,34632,,74,100,0.00033491,2985.88,0.0428684,21.8569,298588,,,74,100,4.59E-06,217702,0.000679829,1469.66,2.18E+07
75,100,0.00264375,378.25,0.10575,7.38075,37825,,75,100,0.000284861,3510.48,0.0364623,25.4205,351048,,,75,100,4.59E-06,217800,0.000688705,1449.44,2.18E+07
76,100,0.00146696,681.68,0.0586786,9.2835,68168,,76,100,0.000261733,3820.69,0.0335018,27.2077,382069,,,76,100,4.57E-06,218947,0.000694232,1437.72,2.19E+07
77,100,0.00205023,487.75,0.0820092,8.748,48775,,77,100,0.000287168,3482.28,0.0367575,25.5421,348228,,,77,100,4.57E-06,218691,0.00070419,1418.07,2.19E+07
78,100,0.00334225,299.2,0.13369,5.8685,29920,,78,100,0.000322558,3100.22,0.0412874,22.6638,310022,,,78,100,4.58E-06,218112,0.000715228,1395.46,2.18E+07
79,100,0.00282215,354.34,0.112886,6.9345,35434,,79,100,0.000287279,3480.94,0.0367717,25.6561,348094,,,79,100,4.58E-06,218322,0.0007237,1380.2,2.18E+07
80,100,0.0027274,366.65,0.109096,7.153,36665,,80,100,0.000302084,3310.34,0.0386667,24.1638,331034,,,80,100,4.58E-06,218341,0.000732799,1362.79,2.18E+07
81,100,0.00285747,349.96,0.114299,7.0335,34996,,81,100,0.000315173,3172.86,0.0403422,23.2436,317286,,,81,100,4.56E-06,219377,0.000738456,1352.59,2.19E+07
82,100,0.00279658,357.58,0.111863,6.7595,35758,,82,100,0.00030027,3330.34,0.0384345,24.4288,333034,,,82,100,4.57E-06,218955,0.000749014,1332.65,2.19E+07
83,100,0.00159264,627.89,0.0637054,8.3785,62789,,83,100,0.000305565,3272.63,0.0391123,23.6202,327263,,,83,100,4.59E-06,217667,0.000762634,1309.75,2.18E+07
84,100,0.00295395,338.53,0.118158,6.8145,33853,,84,100,0.000345509,2894.28,0.0442252,21.1509,289428,,,84,100,4.59E-06,217744,0.000771549,1293.77,2.18E+07
85,100,0.00265717,376.34,0.106287,7.1035,37634,,85,100,0.000269849,3705.78,0.0345406,27.3312,370578,,,85,100,4.58E-06,218307,0.00077872,1282.6,2.18E+07
86,100,0.00230394,434.04,0.0921574,8.13225,43404,,86,100,0.00028434,3516.92,0.0363955,25.8442,351692,,,86,100,4.58E-06,218167,0.000788387,1266.01,2.18E+07
87,100,0.00226783,440.95,0.0907132,8.9305,44095,,87,100,0.000329748,3032.62,0.0422077,22.2185,303262,,,87,100,4.61E-06,216880,0.000802287,1245.28,2.17E+07
88,100,0.00329902,303.12,0.131961,5.95775,30312,,88,100,0.000289372,3455.76,0.0370396,25.2791,345576,,,88,100,4.60E-06,217576,0.000808912,1234.87,2.18E+07
89,100,0.00250771,398.77,0.100308,6.89825,39877,,89,100,0.000293376,3408.6,0.0375521,24.5234,340860,,,89,100,4.60E-06,217214,0.00081947,1219.12,2.17E+07
90,100,0.00242272,412.76,0.0969086,8.12475,41276,,90,100,0.000286341,3492.34,0.0366516,25.0746,349234,,,90,100,4.59E-06,217989,0.00082573,1209.84,2.18E+07
91,100,0.00257971,387.64,0.103189,7.0385,38764,,91,100,0.000334012,2993.9,0.0427536,21.7827,299390,,,91,100,4.59E-06,217887,0.000835296,1195.53,2.18E+07
92,100,0.00233079,429.04,0.0932314,7.64475,42904,,92,100,0.000258953,3861.7,0.033146,28.5174,386170,,,92,100,4.60E-06,217555,0.000845764,1180.25,2.18E+07
93,100,0.00151051,662.03,0.0604202,8.85825,66203,,93,100,0.000275899,3624.51,0.0353151,26.3248,362451,,,93,100,4.58E-06,218552,0.000851056,1172.96,2.19E+07
94,100,0.00242014,413.2,0.0968054,6.81825,41320,,94,100,0.000272997,3663.04,0.0349437,26.4647,366304,,,94,100,4.59E-06,217662,0.000863725,1156.55,2.18E+07
95,100,0.00226901,440.72,0.0907606,8.6795,44072,,95,100,0.000254601,3927.72,0.0325889,28.7429,392772,,,95,100,4.59E-06,217832,0.000872231,1144.92,2.18E+07
96,100,0.00134023,746.14,0.0536092,13.3138,74614,,96,100,0.000280407,3566.24,0.0358921,24.1737,356624,,,96,100,4.59E-06,217850,0.000881342,1132.2,2.18E+07
97,100,0.002738,365.23,0.10952,6.61375,36523,,97,100,0.000370366,2700.03,0.0474069,18.6485,270003,,,97,100,4.60E-06,217570,0.000891666,1119.35,2.18E+07
98,100,0.00153494,651.49,0.0613977,12.2118,65149,,98,100,0.000397521,2515.59,0.0508827,18.2188,251559,,,98,100,4.60E-06,217381,0.000901643,1107.34,2.17E+07
99,100,0.00130283,767.56,0.0521132,10.455,76756,,99,100,0.000353056,2832.41,0.0451912,20.2332,283241,,,99,100,3.43E-06,291412,0.000679451,1468.89,2.91E+07
100,100,0.00252947,395.34,0.101179,7.77125,39534,,100,100,0.000408382,2448.69,0.0522728,17.7002,244869,,,100,100,3.49E-06,286719,0.000697547,1430.09,2.87E+07
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
