EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
2,2,0.000761615,1313,0.00304646,120.25,2626
1,100,0.00254563,392.83,0.00509126,71.31,39283
2,100,0.00172144,580.91,0.00688575,44.3,58091
3,100,0.00194032,515.38,0.0116419,31.0017,51538
4,100,0.00507975,196.86,0.040638,16.1187,19686
5,100,0.0050153,199.39,0.050153,12.988,19939
6,100,0.00542064,184.48,0.0650477,13.5067,18448
7,100,0.00276702,361.4,0.0387382,12.3179,36140
8,100,0.00366099,273.15,0.0585759,11.8963,27315
9,100,0.00214014,467.26,0.0385225,9.14,46726
10,100,0.00485178,206.11,0.0970356,5.9135,20611
11,100,0.00190186,525.8,0.041841,7.24773,52580
12,100,0.00493267,202.73,0.118384,5.36083,20273
13,100,0.00451427,221.52,0.117371,5.19769,22152
14,100,0.0064658,154.66,0.181042,4.28143,15466
15,100,0.00163741,610.72,0.0491223,5.66333,61072
16,100,0.00482021,207.46,0.154247,4.42938,20746
17,100,0.00184966,540.64,0.0628884,4.92941,54064
18,100,0.00364764,274.15,0.131315,4.29278,27415
19,100,0.0046049,217.16,0.174986,2.98211,21716
20,100,0.00415818,240.49,0.166327,2.902,24049
20,100,0.00495025,202.01,0.19801,2.73625,20201
20,100,0.00172322,580.31,0.0689287,3.97275,58031
20,100,0.00239183,418.09,0.0956732,3.54725,41809
20,100,0.00276052,362.25,0.110421,4.141,36225
20,100,0.00145641,686.62,0.0582564,4.76825,68662
20,100,0.00376974,265.27,0.15079,3.88725,26527
20,100,0.00331598,301.57,0.132639,3.953,30157
20,100,0.00291954,342.52,0.116782,4.06825,34252
20,100,0.00599736,166.74,0.239894,3.1075,16674
20,100,0.004537,220.41,0.18148,4.413,22041
20,100,0.00514615,194.32,0.205846,3.7135,19432
20,100,0.00518027,193.04,0.207211,3.8635,19304
20,100,0.00281571,355.15,0.112628,6.0465,35515
20,100,0.00344649,290.15,0.13786,5.66875,29015
20,100,0.00496944,201.23,0.198778,3.80475,20123
20,100,0.00354421,282.15,0.141769,5.67875,28215
20,100,0.00334191,299.23,0.133676,5.61975,29923
20,100,0.00438385,228.11,0.175354,4.3815,22811
20,100,0.00329337,303.64,0.131735,3.64725,30364
20,100,0.00430274,232.41,0.17211,3.66475,23241
20,100,0.00281278,355.52,0.112511,5.75625,35552
20,100,0.00451957,221.26,0.180783,2.98875,22126
20,100,0.00136623,731.94,0.0546493,4.814,73194
20,100,0.00247954,403.3,0.0991818,3.3425,40330
20,100,0.00468011,213.67,0.187205,3.4765,21367
20,100,0.00305362,327.48,0.122145,3.64525,32748
20,100,0.00459327,217.71,0.183731,2.72,21771
20,100,0.00453165,220.67,0.181266,3.7865,22067
20,100,0.00427771,233.77,0.171108,3.1355,23377
20,100,0.00399984,250.01,0.159994,4.02625,25001
20,100,0.00275535,362.93,0.110214,3.852,36293
20,100,0.00491545,203.44,0.196618,2.85225,20344
20,100,0.00393005,254.45,0.157202,3.373,25445
20,100,0.00460172,217.31,0.184069,2.78275,21731
20,100,0.00367931,271.79,0.147172,3.329,27179
20,100,0.00222005,450.44,0.0888021,3.5415,45044
20,100,0.00406339,246.1,0.162536,3.70475,24610
20,100,0.0023784,420.45,0.0951362,3.95375,42045
20,100,0.00164115,609.33,0.0656459,5.7535,60933
20,100,0.00342454,292.01,0.136982,3.6795,29201
20,100,0.00173445,576.55,0.0693782,3.9095,57655
20,100,0.00320318,312.19,0.128127,3.2465,31219
20,100,0.00440238,227.15,0.176095,3.54275,22715
20,100,0.00280718,356.23,0.112287,5.5905,35623
20,100,0.00158038,632.76,0.0632151,6.1745,63276
20,100,0.00362937,275.53,0.145175,3.3025,27553
20,100,0.00171712,582.37,0.0686849,3.6375,58237
20,100,0.00211385,473.07,0.0845541,4.32675,47307
20,100,0.00599916,166.69,0.239966,3.20425,16669
20,100,0.00373748,267.56,0.149499,3.50575,26756
20,100,0.00630994,158.48,0.252398,2.942,15848
20,100,0.00305941,326.86,0.122377,4.1565,32686
20,100,0.00542417,184.36,0.216967,3.53025,18436
20,100,0.0032039,312.12,0.128156,5.049,31212
20,100,0.00414491,241.26,0.165796,3.24075,24126
20,100,0.00436053,229.33,0.174421,3.7995,22933
20,100,0.00379954,263.19,0.151981,3.267,26319
20,100,0.00461936,216.48,0.184775,2.67675,21648
20,100,0.00417816,239.34,0.167126,2.8995,23934
20,100,0.00444346,225.05,0.177738,2.933,22505
20,100,0.00354736,281.9,0.141894,4.31225,28190
20,100,0.00376974,265.27,0.15079,3.33825,26527
20,100,0.00384202,260.28,0.153681,3.32975,26028
20,100,0.00336939,296.79,0.134775,3.96125,29679
20,100,0.00223344,447.74,0.0893376,3.709,44774
20,100,0.00333133,300.18,0.133253,3.19025,30018
20,100,0.00173874,575.13,0.0695495,3.651,57513
20,100,0.00171904,581.72,0.0687616,4.2265,58172
20,100,0.00557693,179.31,0.223077,3.23225,17931
20,100,0.00490292,203.96,0.196117,3.78975,20396
20,100,0.00511352,195.56,0.204541,3.34725,19556
20,100,0.00360503,277.39,0.144201,5.64625,27739
20,100,0.00369222,270.84,0.147689,4.2655,27084
20,100,0.00377344,265.01,0.150938,4.08625,26501
20,100,0.00389317,256.86,0.155727,4.939,25686
20,100,0.00584761,171.01,0.233904,3.2185,17101
20,100,0.00430682,232.19,0.172273,4.72925,23219
20,100,0.00386877,258.48,0.154751,2.784,25848
20,100,0.00227474,439.61,0.0909897,3.94075,43961
20,100,0.00173865,575.16,0.0695459,4.9475,57516
