EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,2.46187e-06,406195,4.92375e-06,202857,4.06195e+07
2,100,2.6357e-06,379406,1.05428e-05,94728.7,3.79406e+07
3,100,3.2123e-06,311303,1.92738e-05,51802.6,3.11303e+07
4,100,2.88587e-06,346515,2.3087e-05,43275.4,3.46515e+07
5,100,2.47807e-06,403540,2.47807e-05,40292.9,4.0354e+07
6,100,2.91301e-06,343288,3.49561e-05,28542.3,3.43288e+07
7,100,3.26613e-06,306173,4.57258e-05,21840.8,3.06173e+07
8,100,3.9525e-06,253004,6.324e-05,15797,2.53004e+07
9,100,4.0063e-06,249607,7.21134e-05,13851.5,2.49607e+07
10,100,4.004e-06,249750,8.008e-05,12474.9,2.4975e+07
11,100,4.00083e-06,249948,8.80183e-05,11339.1,2.49948e+07
12,100,3.99976e-06,250015,9.59943e-05,10406,2.50015e+07
13,100,3.8829e-06,257539,0.000100955,9886.67,2.57539e+07
14,100,4.00866e-06,249460,0.000112242,8896.93,2.4946e+07
15,100,3.6683e-06,272606,0.000110049,9072.58,2.72606e+07
16,100,3.64355e-06,274457,0.000116594,8561.1,2.74457e+07
17,100,3.97236e-06,251739,0.00013506,7390.28,2.51739e+07
18,100,4.02877e-06,248215,0.000145036,6879.71,2.48215e+07
19,100,3.06797e-06,325948,0.000116583,8561.18,3.25948e+07
20,100,2.6149e-06,382423,0.000104596,9539.31,3.82423e+07
21,100,3.04459e-06,328452,0.000127873,7801.81,3.28452e+07
22,100,2.27908e-06,438774,0.000100279,9951.45,4.38774e+07
23,100,2.18398e-06,457881,0.000100463,9899.48,4.57881e+07
24,100,2.9329e-06,340959,0.000140779,7086.16,3.40959e+07
25,100,2.32786e-06,429580,0.000116393,8572.85,4.2958e+07
26,100,2.55067e-06,392054,0.000132635,7521.91,3.92054e+07
27,100,2.69236e-06,371422,0.000145387,6861.28,3.71422e+07
28,100,3.15742e-06,316714,0.000176816,5639.63,3.16714e+07
29,100,3.03446e-06,329548,0.000175999,5666.95,3.29548e+07
30,100,2.91234e-06,343366,0.00017474,5702.67,3.43366e+07
31,100,2.90522e-06,344208,0.000180124,5532.45,3.44208e+07
32,100,2.85295e-06,350515,0.000182588,5463.15,3.50515e+07
33,100,3.49525e-06,286103,0.000230686,4319.17,2.86103e+07
34,100,3.55059e-06,281643,0.00024144,4130.01,2.81643e+07
35,100,2.97065e-06,336626,0.000207946,4791.23,3.36626e+07
36,100,3.27842e-06,305025,0.000236046,4221.18,3.05025e+07
37,100,2.84196e-06,351869,0.000210305,4736.14,3.51869e+07
38,100,2.98454e-06,335060,0.000226825,4395.36,3.3506e+07
39,100,3.18386e-06,314085,0.000248341,4014.98,3.14085e+07
40,100,3.74256e-06,267197,0.000299405,3329.26,2.67197e+07
41,100,2.99686e-06,333682,0.000245743,4057.09,3.33682e+07
42,100,3.3434e-06,299097,0.000280845,3548.1,2.99097e+07
43,100,3.29562e-06,303433,0.000283424,3514.93,3.03433e+07
44,100,2.64574e-06,377967,0.000232825,4279.14,3.77967e+07
45,100,3.20424e-06,312086,0.000288382,3446.11,3.12086e+07
46,100,2.97823e-06,335770,0.000273997,3637.09,3.3577e+07
47,100,2.98459e-06,335055,0.000280551,3551.31,3.35055e+07
48,100,2.24008e-06,446413,0.000215048,4628.74,4.46413e+07
49,100,3.34753e-06,298727,0.000328058,3037.4,2.98727e+07
50,100,3.79324e-06,263627,0.000379324,2624.86,2.63627e+07
51,100,3.76452e-06,265638,0.000383981,2594.02,2.65638e+07
52,100,3.84728e-06,259924,0.000400117,2488.01,2.59924e+07
53,100,3.88514e-06,257391,0.000411825,2417.36,2.57391e+07
54,100,3.91888e-06,255175,0.000423239,2353.69,2.55175e+07
55,100,3.91362e-06,255518,0.000430498,2312.69,2.55518e+07
56,100,3.89762e-06,256567,0.000436533,2281.61,2.56567e+07
57,100,3.89559e-06,256700,0.000444098,2242.52,2.567e+07
58,100,3.85861e-06,259161,0.000447599,2224.25,2.59161e+07
59,100,3.88238e-06,257574,0.000458121,2173.57,2.57574e+07
60,100,3.82389e-06,261514,0.000458867,2169.63,2.61514e+07
61,100,3.83105e-06,261025,0.000467388,2130.11,2.61025e+07
62,100,3.7483e-06,266787,0.000464789,2141.62,2.66787e+07
63,100,3.80972e-06,262487,0.000480024,2072.85,2.62487e+07
64,100,3.88093e-06,257670,0.000496759,2004.05,2.5767e+07
65,100,3.89087e-06,257012,0.000505814,1967.99,2.57012e+07
66,100,3.79631e-06,263414,0.000501113,1985.54,2.63414e+07
67,100,3.7893e-06,263901,0.000507767,1959.62,2.63901e+07
68,100,3.79346e-06,263612,0.000515911,1928.73,2.63612e+07
69,100,3.79098e-06,263784,0.000523155,1901.59,2.63784e+07
70,100,3.75375e-06,266400,0.000525525,1892.63,2.664e+07
71,100,3.8083e-06,262584,0.000540779,1839.94,2.62584e+07
72,100,3.80144e-06,263058,0.000547407,1817.78,2.63058e+07
73,100,2.79748e-06,357465,0.000408432,2421.09,3.57465e+07
74,100,3.01952e-06,331179,0.000446888,2224.41,3.31179e+07
75,100,3.69293e-06,270788,0.000553939,1794.82,2.70788e+07
76,100,3.54773e-06,281870,0.000539255,1843.8,2.8187e+07
77,100,3.85922e-06,259120,0.00059432,1673.67,2.5912e+07
78,100,3.78826e-06,263973,0.000590969,1683.07,2.63973e+07
79,100,3.82054e-06,261743,0.000603645,1647.39,2.61743e+07
80,100,3.85289e-06,259545,0.000616463,1612.61,2.59545e+07
81,100,3.68044e-06,271706,0.000596232,1667.09,2.71706e+07
82,100,3.26922e-06,305883,0.000536153,1853.49,3.05883e+07
83,100,3.56174e-06,280762,0.000591248,1681.01,2.80762e+07
84,100,2.95136e-06,338827,0.000495829,2003.86,3.38827e+07
85,100,2.93476e-06,340743,0.00049891,1992.37,3.40743e+07
86,100,3.17152e-06,315306,0.000545502,1821.75,3.15306e+07
87,100,3.17547e-06,314914,0.000552531,1798.25,3.14914e+07
88,100,3.10766e-06,321786,0.000546948,1814.31,3.21786e+07
89,100,3.62706e-06,275706,0.000645616,1539.07,2.75706e+07
90,100,3.30312e-06,302744,0.000594562,1671.74,3.02744e+07
91,100,3.17315e-06,315144,0.000577513,1718.57,3.15144e+07
92,100,3.09655e-06,322940,0.000569766,1743.7,3.2294e+07
93,100,3.70656e-06,269792,0.000689421,1440.95,2.69792e+07
94,100,3.78749e-06,264027,0.000712049,1394.76,2.64027e+07
95,100,2.9807e-06,335492,0.000566333,1753.17,3.35492e+07
96,100,3.25843e-06,306897,0.000625618,1587.3,3.06897e+07
97,100,3.24907e-06,307781,0.000630319,1575.29,3.07781e+07
98,100,3.43625e-06,291015,0.000673505,1475.16,2.91015e+07
99,100,3.54581e-06,282023,0.000702071,1414.53,2.82023e+07
100,100,3.19645e-06,312847,0.00063929,1552.15,3.12847e+07
1,100,0.00123358,810.65,0.00246716,88.55,81065
2,100,0.00091386,1094.26,0.00365544,69.82,109426
3,100,0.000881935,1133.87,0.00529161,45.3183,113387
4,100,0.00233095,429.01,0.0186476,32.6262,42901
5,100,0.00118051,847.09,0.0118051,29.187,84709
6,100,0.00196912,507.84,0.0236295,23.895,50784
7,100,0.000985999,1014.2,0.013804,23.635,101420
8,100,0.00154622,646.74,0.0247395,22.3731,64674
9,100,0.000717458,1393.81,0.0129142,20.9939,139381
10,100,0.00109402,914.06,0.0218804,20.719,91406
11,100,0.00133838,747.17,0.0294444,17.0391,74717
12,100,0.000694594,1439.69,0.0166703,19.5663,143969
13,100,0.000713175,1402.18,0.0185426,15.2538,140218
14,100,0.000586053,1706.33,0.0164095,17.1175,170633
15,100,0.000789921,1265.95,0.0236976,13.0517,126595
16,100,0.000999251,1000.75,0.031976,14.7641,100075
17,100,0.000654433,1528.04,0.0222507,13.3988,152804
18,100,0.0011032,906.45,0.0397154,12.8644,90645
19,100,0.000815774,1225.83,0.0309994,16.9226,122583
20,100,0.000881127,1134.91,0.0352451,15.01,113491
20,100,0.000494812,2020.97,0.0197925,16.815,202097
20,100,0.000883595,1131.74,0.0353438,12.2668,113174
20,100,0.000981855,1018.48,0.0392742,12.6775,101848
20,100,0.00102146,978.99,0.0408584,12.5793,97899
20,100,0.000859011,1164.13,0.0343604,13.2495,116413
20,100,0.000957084,1044.84,0.0382834,13.047,104484
20,100,0.000969434,1031.53,0.0387774,13.2193,103153
20,100,0.000960301,1041.34,0.038412,13.6435,104134
20,100,0.000816273,1225.08,0.0326509,14.6602,122508
20,100,0.000715231,1398.15,0.0286092,14.407,139815
20,100,0.000956169,1045.84,0.0382468,12.8912,104584
20,100,0.000853723,1171.34,0.0341489,14.8272,117134
20,100,0.000813405,1229.4,0.0325362,13.702,122940
20,100,0.000971279,1029.57,0.0388512,12.7248,102957
20,100,0.000920929,1085.86,0.0368372,11.9688,108586
20,100,0.000756298,1322.23,0.0302519,17.5877,132223
20,100,0.000987011,1013.16,0.0394804,12.526,101316
20,100,0.000822517,1215.78,0.0329007,15.7383,121578
20,100,0.00103009,970.79,0.0412036,13.488,97079
20,100,0.000816593,1224.6,0.0326637,16.007,122460
20,100,0.00101472,985.49,0.0405889,13.646,98549
