EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
1,100,0.00141517,706.63,0.00283034,171.525,70663
2,100,0.00117147,853.63,0.00468587,86.3075,85363
3,100,0.00278211,359.44,0.0166926,51.815,35944
4,100,0.000691453,1446.23,0.00553162,86.3312,144623
5,100,0.00146351,683.29,0.0146351,54.706,68329
6,100,0.00181722,550.29,0.0218067,29.0167,55029
7,100,0.00268738,372.11,0.0376233,23.3307,37211
8,100,0.00206488,484.29,0.0330381,19.5994,48429
9,100,0.00195902,510.46,0.0352623,18.1667,51046
10,100,0.00306598,326.16,0.0613196,14.0805,32616
11,100,0.0026381,379.06,0.0580383,14.3459,37906
12,100,0.00108601,920.8,0.0260643,28.0067,92080
13,100,0.000901234,1109.59,0.0234321,21.1454,110959
14,100,0.0019699,507.64,0.0551572,14.7786,50764
15,100,0.00270621,369.52,0.0811864,10.4997,36952
16,100,0.000981952,1018.38,0.0314225,13.3606,101838
17,100,0.00251149,398.17,0.0853907,9.38029,39817
18,100,0.00320718,311.8,0.115459,6.73167,31180
19,100,0.00315597,316.86,0.119927,6.60237,31686
20,100,0.00303527,329.46,0.121411,6.548,32946
20,100,0.00318522,313.95,0.127409,6.144,31395
20,100,0.00300797,332.45,0.120319,6.56925,33245
20,100,0.00280946,355.94,0.112378,7.01125,35594
20,100,0.00352609,283.6,0.141044,5.53725,28360
20,100,0.00247439,404.14,0.0989756,6.827,40414
20,100,0.00323206,309.4,0.129282,6.00025,30940
20,100,0.00267802,373.41,0.107121,6.26925,37341
20,100,0.00261513,382.39,0.104605,7.45575,38239
20,100,0.00239647,417.28,0.0958589,8.25875,41728
20,100,0.0018773,532.68,0.075092,8.95225,53268
20,100,0.0023499,425.55,0.093996,7.77025,42555
20,100,0.00254227,393.35,0.101691,6.31525,39335
20,100,0.00279088,358.31,0.111635,6.778,35831
20,100,0.00237231,421.53,0.0948924,7.75825,42153
20,100,0.0024233,412.66,0.0969321,6.52175,41266
20,100,0.00128563,777.83,0.0514251,11.5165,77783
20,100,0.00102323,977.3,0.0409291,13.6973,97730
20,100,0.00160919,621.43,0.0643677,8.6005,62143
20,100,0.00133817,747.29,0.0535267,10.8285,74729
20,100,0.00095768,1044.19,0.0383072,14.6585,104419
20,100,0.00198161,504.64,0.0792644,9.064,50464
20,100,0.0025344,394.57,0.101376,7.75075,39457
20,100,0.00292543,341.83,0.117017,6.6255,34183
20,100,0.00209371,477.62,0.0837486,8.041,47762
20,100,0.00247451,404.12,0.0989805,7.97525,40412
20,100,0.00344851,289.98,0.137941,5.7345,28998
20,100,0.00113075,884.37,0.0452299,14.9388,88437
20,100,0.00227625,439.32,0.0910498,7.527,43932
20,100,0.00305297,327.55,0.122119,6.494,32755
20,100,0.00228274,438.07,0.0913096,8.45125,43807
20,100,0.00136977,730.05,0.0547908,9.39725,73005
20,100,0.00106855,935.85,0.0427419,15.351,93585
20,100,0.00131259,761.85,0.0525038,12.6092,76185
20,100,0.0028056,356.43,0.112224,7.301,35643
20,100,0.00284892,351.01,0.113957,6.9535,35101
20,100,0.00315338,317.12,0.126135,6.03225,31712
20,100,0.00274959,363.69,0.109984,6.794,36369
20,100,0.00287811,347.45,0.115124,6.9455,34745
20,100,0.0011792,848.03,0.0471681,10.709,84803
20,100,0.00115439,866.26,0.0461755,16.5003,86626
20,100,0.00263407,379.64,0.105363,7.55975,37964
20,100,0.00230261,434.29,0.0921044,7.36,43429
20,100,0.00196541,508.8,0.0786164,8.08925,50880
20,100,0.0027112,368.84,0.108448,6.73475,36884
20,100,0.00245495,407.34,0.0981981,6.423,40734
20,100,0.0014856,673.13,0.0594239,12.4428,67313
20,100,0.00117374,851.98,0.0469495,9.83375,85198
20,100,0.00149318,669.71,0.0597273,13.4765,66971
20,100,0.00273008,366.29,0.109203,7.30925,36629
20,100,0.00288934,346.1,0.115574,6.78175,34610
20,100,0.00296375,337.41,0.11855,6.719,33741
20,100,0.00286582,348.94,0.114633,6.695,34894
20,100,0.00294377,339.7,0.117751,6.73625,33970
20,100,0.0028875,346.32,0.1155,6.91375,34632
20,100,0.00264375,378.25,0.10575,7.38075,37825
20,100,0.00146696,681.68,0.0586786,9.2835,68168
20,100,0.00205023,487.75,0.0820092,8.748,48775
20,100,0.00334225,299.2,0.13369,5.8685,29920
20,100,0.00282215,354.34,0.112886,6.9345,35434
20,100,0.0027274,366.65,0.109096,7.153,36665
20,100,0.00285747,349.96,0.114299,7.0335,34996
20,100,0.00279658,357.58,0.111863,6.7595,35758
20,100,0.00159264,627.89,0.0637054,8.3785,62789
20,100,0.00295395,338.53,0.118158,6.8145,33853
20,100,0.00265717,376.34,0.106287,7.1035,37634
20,100,0.00230394,434.04,0.0921574,8.13225,43404
20,100,0.00226783,440.95,0.0907132,8.9305,44095
20,100,0.00329902,303.12,0.131961,5.95775,30312
20,100,0.00250771,398.77,0.100308,6.89825,39877
20,100,0.00242272,412.76,0.0969086,8.12475,41276
20,100,0.00257971,387.64,0.103189,7.0385,38764
20,100,0.00233079,429.04,0.0932314,7.64475,42904
20,100,0.00151051,662.03,0.0604202,8.85825,66203
20,100,0.00242014,413.2,0.0968054,6.81825,41320
20,100,0.00226901,440.72,0.0907606,8.6795,44072
20,100,0.00134023,746.14,0.0536092,13.3138,74614
20,100,0.002738,365.23,0.10952,6.61375,36523
20,100,0.00153494,651.49,0.0613977,12.2118,65149
20,100,0.00130283,767.56,0.0521132,10.455,76756
20,100,0.00252947,395.34,0.101179,7.77125,39534
1,100,0.000402204,2486.3,0.000804408,1231.33,248630
2,100,0.000390967,2557.76,0.00156387,632.105,255776
3,100,0.000431438,2317.83,0.00258863,381.568,231783
4,100,0.000448115,2231.57,0.00358492,275.239,223157
5,100,0.000438141,2282.37,0.00438141,224.196,228237
6,100,0.000356902,2801.89,0.00428282,222.733,280189
7,100,0.000430063,2325.24,0.00602088,162.386,232524
8,100,0.000350851,2850.21,0.00561362,161.729,285021
9,100,0.000407907,2451.54,0.00734232,133.023,245154
10,100,0.00038258,2613.83,0.00765161,128.221,261383
11,100,0.000428014,2336.37,0.00941632,103.7,233637
12,100,0.000399181,2505.13,0.00958034,96.1021,250513
13,100,0.000309451,3231.53,0.00804572,118.3,323153
14,100,0.000360746,2772.03,0.0101009,92.6129,277203
15,100,0.000306769,3259.78,0.00920308,95.4567,325978
16,100,0.000318401,3140.69,0.0101888,91.8644,314069
17,100,0.000323159,3094.45,0.0109874,87.7315,309445
18,100,0.000442633,2259.21,0.0159348,60.8133,225921
19,100,0.00038904,2570.43,0.0147835,63.8226,257043
20,100,0.000440732,2268.95,0.0176293,54.9457,226895
21,100,0.000430851,2320.99,0.0180957,53.2083,232099
22,100,0.000331814,3013.74,0.0145998,66.2848,301374
23,100,0.00043023,2324.34,0.0197906,48.6452,232434
24,100,0.000439615,2274.72,0.0211015,45.6373,227472
25,100,0.000423723,2360.03,0.0211862,45.4722,236003
26,100,0.000312144,3203.65,0.0162315,59.0252,320365
27,100,0.000387073,2583.49,0.020902,46.0207,258349
28,100,0.000397182,2517.74,0.0222422,43.177,251774
29,100,0.000376306,2657.41,0.0218258,43.9057,265741
30,100,0.000396253,2523.64,0.0237752,40.0015,252364
31,100,0.000441034,2267.4,0.0273441,34.895,226740
32,100,0.000404266,2473.62,0.025873,37.0117,247362
33,100,0.000412914,2421.81,0.0272523,34.2494,242181
34,100,0.00045545,2195.63,0.0309706,30.8888,219563
35,100,0.000316711,3157.45,0.0221698,38.1979,315745
36,100,0.000364118,2746.36,0.0262165,35.5514,274636
37,100,0.000316164,3162.92,0.0233961,40.093,316292
38,100,0.000378705,2640.58,0.0287816,32.2453,264058
39,100,0.000397856,2513.47,0.0310328,30.4615,251347
40,100,0.000366437,2728.98,0.029315,32.4243,272898
41,100,0.000426995,2341.95,0.0350136,27.1487,234195
42,100,0.000326047,3067.04,0.027388,31.4781,306704
43,100,0.000378395,2642.74,0.032542,28.5851,264274
44,100,0.000403768,2476.67,0.0355316,26.6762,247667
45,100,0.000413358,2419.21,0.0372022,25.3386,241921
46,100,0.000382801,2612.32,0.0352177,26.8212,261232
47,100,0.000423117,2363.41,0.039773,23.7314,236341
48,100,0.000401585,2490.13,0.0385522,24.3269,249013
49,100,0.000406068,2462.64,0.0397947,23.6373,246264
50,100,0.000408015,2450.89,0.0408015,22.9781,245089
51,100,0.000425065,2352.58,0.0433567,21.6125,235258
52,100,0.000413587,2417.87,0.0430131,21.9213,241787
53,100,0.000360321,2775.3,0.0381941,24.5832,277530
54,100,0.000397248,2517.32,0.0429028,21.9788,251732
55,100,0.000402958,2481.65,0.0443253,21.1212,248165
56,100,0.000374829,2667.88,0.0419809,22.2984,266788
57,100,0.000236245,4232.9,0.0269319,30.8016,423290
58,100,0.000301078,3321.4,0.034925,26.7774,332140
59,100,0.000415553,2406.43,0.0490353,18.7545,240643
60,100,0.000319355,3131.31,0.0383226,23.7787,313131
61,100,0.000297857,3357.32,0.0363385,23.7762,335732
62,100,0.000403779,2476.6,0.0500686,18.4131,247660
63,100,0.000328524,3043.92,0.041394,22.4844,304392
64,100,0.000390376,2561.63,0.0499682,18.5761,256163
64,100,0.000351227,2847.16,0.0449571,20.6915,284716
64,100,0.000341573,2927.63,0.0437214,21.4195,292763
64,100,0.000418414,2389.98,0.0535569,17.2172,238998
64,100,0.000277316,3606,0.0354964,25.3912,360600
64,100,0.00038627,2588.86,0.0494426,18.7763,258886
64,100,0.000419882,2381.62,0.0537449,17.3069,238162
64,100,0.00039885,2507.21,0.0510528,18.1565,250721
64,100,0.000339149,2948.56,0.043411,20.377,294856
64,100,0.000320763,3117.57,0.0410576,20.3785,311757
64,100,0.000276424,3617.63,0.0353823,23.5782,361763
64,100,0.000361028,2769.87,0.0462116,19.1591,276987
64,100,0.000333618,2997.44,0.0427031,21.5012,299744
64,100,0.000434796,2299.93,0.0556539,16.5617,229993
64,100,0.000357599,2796.43,0.0457726,17.7003,279643
64,100,0.000371395,2692.55,0.0475386,19.2881,269255
64,100,0.000353917,2825.52,0.0453014,20.4395,282552
64,100,0.000385437,2594.46,0.0493359,17.8375,259446
64,100,0.000393547,2540.99,0.0503741,17.9955,254099
64,100,0.000357017,2800.99,0.0456981,20.2838,280099
64,100,0.000406001,2463.05,0.0519681,17.9359,246305
64,100,0.000282582,3538.8,0.0361705,22.9442,353880
64,100,0.000318958,3135.21,0.0408266,22.8878,313521
64,100,0.00042853,2333.56,0.0548518,16.9819,233356
64,100,0.000425528,2350.02,0.0544676,17.1095,235002
64,100,0.000424923,2353.37,0.0543901,17.0327,235337
